"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000062893",34.8398523302746,-1.1333396242528,0.34880460191272,-3.24921064125292,0.00115725749051903,0.0116124633548635,"si:dkey-103i16.6","557125"
"ENSDARG00000056764",52.1246803792668,-1.13662008913495,0.385928626057495,-2.94515620866543,0.00322791650020569,0.0262474134452933,"hydin","557988"
"ENSDARG00000017773",71.5555949629202,-1.13800513829707,0.346628604098764,-3.28306759696273,0.00102684040081745,0.0105186461736213,"slc16a12a","557762"
"ENSDARG00000028098",54.6672747965999,-1.13963886832368,0.403577497571751,-2.8238414559302,0.00474518511038846,0.0354775555130216,"fut9d","503885"
"ENSDARG00000104541",1655.39065600755,-1.1448302869718,0.207533473790798,-5.51636449802711,3.4608409717657e-08,9.82070889954355e-07,"msh6","260437"
"ENSDARG00000019096",28735.3066820415,-1.14664670625155,0.368176251676106,-3.1143961649658,0.00184321820431737,0.0169652335971928,"myl7","30592"
"ENSDARG00000000229",280.442757462813,-1.14829479528365,0.234312839781357,-4.90069087274579,9.55002228231673e-07,2.16745982136007e-05,"usp49","559473"
"ENSDARG00000105184",73.7177447948446,-1.14939170252166,0.377044192556355,-3.0484270152228,0.00230042784927704,0.0201959750982137,"nbeab","565885"
"ENSDARG00000117444",96.4351493973772,-1.15227015715079,0.341860547249732,-3.37058536418081,0.00075008662487059,0.00806924849501522,NA,NA
"ENSDARG00000002601",43.1763002744296,-1.1540159494709,0.407709467533273,-2.8304860234248,0.00464773417860891,0.0349595597020021,"irx7","140746"
"ENSDARG00000079453",71.0524952329251,-1.15728672071103,0.259002353573273,-4.46824789329038,7.88628843522927e-06,0.000146200131754042,"atp8b4","559291"
"ENSDARG00000061682",139.824652564797,-1.15844923948573,0.252026722359152,-4.5965333701197,4.29578200822983e-06,8.54842493975255e-05,"bicc1a","568201"
"ENSDARG00000035009",40.1314204454416,-1.16681590756729,0.372403982332132,-3.13319932901966,0.00172911972648082,0.0161291029549621,"trim35-27","334253"
"ENSDARG00000043447",70.4098143284516,-1.16719562968145,0.358382418482072,-3.25684400095603,0.00112658329112295,0.0113481249841821,"gpr55a","664762"
"ENSDARG00000079355",191.778242659176,-1.1720452887565,0.18913995549885,-6.19670912824987,5.76559078295893e-10,2.06310161233618e-08,"flrt2","571972"
"ENSDARG00000053389",53.7309448578875,-1.17299737154831,0.336101385147896,-3.49001052474731,0.000483001524589206,0.00551824561595837,"jade2","569359"
"ENSDARG00000116005",32.7008014463376,-1.17543110014391,0.396511583640731,-2.96443067148558,0.00303243563427657,0.0249852776701173,"zgc:171446","100136837"
"ENSDARG00000006447",36.5322356067322,-1.17751398432054,0.436241631969546,-2.69922423269024,0.00695013299039793,0.0474359149194135,"slc19a3a","557854"
"ENSDARG00000096971",43.8115382721219,-1.17997551895106,0.375640025348877,-3.14124012172333,0.00168234038814144,0.0157675948699377,"si:dkey-206p8.1","101883329"
"ENSDARG00000110032",51.3201651710832,-1.18017650937462,0.420348587438464,-2.80761383442828,0.00499100366459936,0.0368827506784449,NA,NA
"ENSDARG00000077656",60.961003591958,-1.18052711107209,0.404727362106837,-2.91684531761522,0.00353591078941875,0.0282453632538223,"arfgef3","562652"
"ENSDARG00000063299",104.260085393396,-1.18288124434444,0.360949139718031,-3.27714105446681,0.00104863968219389,0.0106908656920943,"pcloa","100148002"
"ENSDARG00000029039",49.3458183664748,-1.18313456128678,0.408150685561305,-2.89876901630016,0.00374630772696468,0.0295555980292921,"zdhhc23a","100150190"
"ENSDARG00000014674",1008.41689883675,-1.18417257905743,0.222405994448937,-5.3243734818906,1.01301579527803e-07,2.66012533056249e-06,"acsl3b","559656"
"ENSDARG00000077120",159.002740860457,-1.1869634182912,0.31306389688982,-3.79144139609603,0.00014977549280175,0.00198642063878406,"arid5a","100462698"
"ENSDARG00000006640",304.670607308146,-1.18734712502475,0.329808505066799,-3.60011069085155,0.000318081743410639,0.00384453387563623,"eomesa","64603"
"ENSDARG00000052012",174.721222799943,-1.18841743617124,0.435652024177236,-2.72790523219916,0.0063737916438602,0.044467568270375,"rtn4rl2a","403307"
"ENSDARG00000068910",91.6328384152786,-1.1891977978437,0.438400621263177,-2.71258237366824,0.00667611860791046,0.045951416489532,"nos1","60658"
"ENSDARG00000104472",1689.27040794036,-1.18988715164442,0.330686796432459,-3.59823000035456,0.000320390227555463,0.00386702016604672,"si:ch211-39i2.2","449866"
"ENSDARG00000029718",270.571385960085,-1.19074853273788,0.227525855540643,-5.23346469748874,1.66361791942728e-07,4.22279592658931e-06,"p2rx3b","387300"
"ENSDARG00000039131",1310.47354823938,-1.19075187189399,0.397843458989802,-2.99301608456132,0.00276235190520303,0.0233404286142533,"atp1a1a.3","64614"
"ENSDARG00000071496",248.030479080034,-1.19416365824116,0.303303936469497,-3.9371848322887,8.24431054247836e-05,0.00119489297419903,"zic6","415097"
"ENSDARG00000086393",251.612303232276,-1.19629192758601,0.401261064351154,-2.98133069432099,0.0028699869123044,0.0239819848968994,"dbx1a","30394"
