"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000096616",8.33811388262824,2.99690479763374,0.759352559991837,3.94665792351573,7.92496565324613e-05,0.00188504872676179,"si:ch211-255p10.3","100538337"
"ENSDARG00000017246",31.9764904944443,2.99391461866721,0.444453992498694,6.73616317818544,1.62623648210248e-11,1.14467135240234e-09,"prx","571950"
"ENSDARG00000024047",137.785895678567,2.98924012232439,0.207694737699966,14.3924692335856,5.76985494972765e-47,1.75590262249506e-44,"tmem38a","393874"
"ENSDARG00000077388",18.3634640265679,2.97670667283666,0.520841128655151,5.71519127247637,1.09580696642746e-08,5.78485442940046e-07,"obsl1b","606585"
"ENSDARG00000021265",43.0282348201291,2.96757322958437,0.31164842265877,9.52218273484934,1.69579123959996e-21,2.61885850091654e-19,"mybpc2b","541384"
"ENSDARG00000070835",1498.26249025109,2.96695100864753,0.135040986948649,21.9707444064797,5.48620050792315e-107,8.10938809364012e-104,"tnnc2","58082"
"ENSDARG00000112959",240.944654710657,2.96260367936648,0.151822867009328,19.5135537730588,8.4218764661363e-85,6.22436827107945e-82,"wu:fb80c09","103909608"
"ENSDARG00000097224",20.0238527581184,2.95859644062349,0.46743472112353,6.32943233979748,2.46064760956135e-10,1.58138638609511e-08,"prr33","101886780"
"ENSDARG00000026882",20.9088741385508,2.95493284948981,0.471045869135637,6.27313186062341,3.53856979091074e-10,2.23253546503374e-08,"palm1a","550557"
"ENSDARG00000032242",207.411634264198,2.95352076413145,0.225428628932374,13.1017997941046,3.21541257586246e-39,8.11460339571924e-37,"tnnt2c","353248"
"ENSDARG00000062363",15.9474446384534,2.93249349047085,0.505142389391121,5.80528095059607,6.42581632509629e-09,3.48104301129693e-07,"phex","386969"
"ENSDARG00000067848",44.2302801554762,2.91462108010161,0.338364938413649,8.61383893309451,7.0653937216062e-18,8.60066221617169e-16,"nmrk2","447879"
"ENSDARG00000038658",18.9666311147968,2.88406326069146,0.504822952615201,5.71301927883976,1.10989099647085e-08,5.82946301547404e-07,"cavin4a","552940"
"ENSDARG00000019117",16.6491356211824,2.87290846177583,0.55088596707366,5.21506924025837,1.83748586035308e-07,8.09041114769078e-06,"parvb","325686"
"ENSDARG00000068457",333.626055054709,2.86963066077461,0.171439648728657,16.73843059091,6.87777348310095e-63,3.09410096650633e-60,"tnnt3b","100003572"
"ENSDARG00000005085",11.2792604619744,2.86790047747053,0.604030946111668,4.74793633659348,2.05502696501731e-06,7.30699794056154e-05,"ggctb","406278"
"ENSDARG00000104587",412.073382945554,2.83915901569768,0.152151467085156,18.6600830743792,1.04568523654204e-77,6.01094730138915e-75,"srl","449670"
"ENSDARG00000039453",15.2056752049433,2.83292913887661,0.520651552812738,5.44112299977241,5.29457406162812e-08,2.55995129979748e-06,"dhrs7ca","558764"
"ENSDARG00000005916",18.2390399136041,2.82302254981503,0.499618620133134,5.65035496287704,1.60116854717421e-08,8.28364547880579e-07,"srpk3","566605"
"ENSDARG00000071113",85.8272555826705,2.82022934035565,0.442194250811283,6.37780643954877,1.79642352952536e-10,1.19919962967735e-08,"xirp2a","559746"
"ENSDARG00000059259",171.956587892904,2.81279803752148,0.177230668135859,15.8708313132651,1.00895608071007e-56,3.86654391374336e-54,"pabpc4","321035"
"ENSDARG00000079840",14.9187755675319,2.80453882498939,0.538764337806192,5.20550197589036,1.93472888635184e-07,8.48247448605191e-06,"kcnma1a","568554"
"ENSDARG00000058656",289.396032614199,2.80276762759317,0.159856327249453,17.5330415493627,8.01642785858472e-69,3.94980852632267e-66,"desma","30148"
"ENSDARG00000006757",59.0871132213333,2.79591074121532,0.274520233644493,10.1847164564054,2.320353314774e-24,3.87237028193009e-22,"klhl41b","321064"
"ENSDARG00000075752",15.8374705462496,2.78232988625387,0.502189335161259,5.54040018663565,3.01781208157297e-08,1.51351852732786e-06,"myo18aa","566880"
"ENSDARG00000000563",912.266603879822,2.77419664121486,0.336351282921247,8.24791455266846,1.61182548611156e-16,1.83269871481278e-14,"ttn.1","100001684"
"ENSDARG00000091253",82.6586910835721,2.77331926927622,0.226205943912068,12.2601520601699,1.48221491118844e-34,3.48556311046972e-32,"smyd1b","569027"
"ENSDARG00000016260",297.624589785711,2.74291304403252,0.172394963541172,15.9106332788977,5.34698928579644e-57,2.12789608231291e-54,"fxr2","393180"
"ENSDARG00000063682",31.1793324657008,2.734729146132,0.360502713207078,7.58587673807915,3.30246267165693e-14,3.25434107272707e-12,"fhod3a","564742"
"ENSDARG00000110040",5.76253996612149,2.7221776244675,0.832449795139233,3.27008023830698,0.00107516982169681,0.0176303995960332,NA,NA
